±àºÅ,uAddr,uIR,uAR,AB,DB,AR,DR,IB,PC,IR,SP,TR,A,ALU,Shift,PSW,R0,R1,R2,R3,R4,R5,R6,R7,IF,INTR,REQ,MASK
1,="000",="00000000",="000",="FFFF",="0000",="0000",="0000",="0000",="0030",="0000",="0030",="0000",="0000",="0000",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
2,="000",="20080001",="001",="FFFF",="FFFF",="0032",="0102",="0032",="0032",="0460",="0030",="0000",="0101",="0101",="0102",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
3,="000",="20080001",="001",="FFFF",="FFFF",="0034",="0103",="0034",="0034",="0460",="0030",="0000",="0102",="0102",="0103",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
4,="001",="00069002",="002",="0034",="1620",="0034",="1620",="0000",="0035",="0460",="0030",="0000",="0102",="0102",="0103",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
5,="002",="CC000003",="003",="FFFF",="FFFF",="0034",="1620",="1620",="0035",="1620",="0030",="0000",="0102",="0102",="0103",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
6,="003",="00000404",="004",="FFFF",="FFFF",="0034",="1620",="0000",="0035",="1620",="0030",="0000",="0102",="0102",="0103",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
7,="004",="00000A08",="00B",="FFFF",="FFFF",="0034",="1620",="0000",="0035",="1620",="0030",="0000",="0102",="0102",="0103",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
8,="00B",="20080012",="012",="FFFF",="FFFF",="0035",="1620",="0035",="0035",="1620",="0030",="0000",="0102",="0102",="0103",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
9,="012",="00069016",="016",="0035",="0101",="0035",="0101",="0000",="0036",="1620",="0030",="0000",="0102",="0102",="0103",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
10,="016",="D0000006",="006",="FFFF",="FFFF",="0035",="0101",="0101",="0036",="1620",="0030",="0101",="0102",="0102",="0103",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
11,="006",="00000A28",="02C",="FFFF",="FFFF",="0035",="0101",="0000",="0036",="1620",="0030",="0101",="0102",="0102",="0103",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
12,="02C",="20080033",="033",="FFFF",="FFFF",="0036",="0101",="0036",="0036",="1620",="0030",="0101",="0102",="0102",="0103",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
13,="033",="00069034",="034",="0036",="0040",="0036",="0040",="0000",="0037",="1620",="0030",="0101",="0102",="0102",="0103",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
14,="034",="C0080035",="035",="FFFF",="FFFF",="0040",="0040",="0040",="0037",="1620",="0030",="0101",="0102",="0102",="0103",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
15,="035",="00061036",="036",="0040",="0103",="0040",="0103",="0000",="0037",="1620",="0030",="0101",="0102",="0102",="0103",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
16,="036",="D4000007",="007",="FFFF",="FFFF",="0040",="0103",="0103",="0037",="1620",="0030",="0101",="0103",="0103",="0103",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
17,="007",="00000800",="041",="FFFF",="FFFF",="0040",="0103",="0000",="0037",="1620",="0030",="0101",="0103",="0103",="0103",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
18,="041",="94000040",="040",="FFFF",="FFFF",="0040",="0103",="0101",="0037",="1620",="0030",="0101",="0101",="0101",="0103",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
19,="040",="00300E50",="051",="FFFF",="FFFF",="0040",="0103",="0000",="0037",="1620",="0030",="0101",="0101",="0101",="0101",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
20,="051",="60030052",="052",="FFFF",="FFFF",="0040",="0101",="0101",="0037",="1620",="0030",="0101",="0101",="0101",="0101",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
21,="052",="00052000",="000",="0040",="0101",="0040",="0101",="0000",="0037",="1620",="0030",="0101",="0101",="0101",="0101",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
22,="000",="20080001",="001",="FFFF",="FFFF",="0037",="0101",="0037",="0037",="1620",="0030",="0101",="0101",="0101",="0101",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
23,="001",="00069002",="002",="0037",="4620",="0037",="4620",="0000",="0038",="1620",="0030",="0101",="0101",="0101",="0101",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
24,="002",="CC000003",="003",="FFFF",="FFFF",="0037",="4620",="4620",="0038",="4620",="0030",="0101",="0101",="0101",="0101",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
25,="003",="00000404",="004",="FFFF",="FFFF",="0037",="4620",="0000",="0038",="4620",="0030",="0101",="0101",="0101",="0101",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
26,="004",="00000A08",="00B",="FFFF",="FFFF",="0037",="4620",="0000",="0038",="4620",="0030",="0101",="0101",="0101",="0101",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
27,="00B",="20080012",="012",="FFFF",="FFFF",="0038",="4620",="0038",="0038",="4620",="0030",="0101",="0101",="0101",="0101",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
28,="012",="00069016",="016",="0038",="FFFF",="0038",="FFFF",="0000",="0039",="4620",="0030",="0101",="0101",="0101",="0101",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
29,="016",="D0000006",="006",="FFFF",="FFFF",="0038",="FFFF",="FFFF",="0039",="4620",="0030",="FFFF",="0101",="0101",="0101",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
30,="006",="00000A28",="02C",="FFFF",="FFFF",="0038",="FFFF",="0000",="0039",="4620",="0030",="FFFF",="0101",="0101",="0101",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
31,="02C",="20080033",="033",="FFFF",="FFFF",="0039",="FFFF",="0039",="0039",="4620",="0030",="FFFF",="0101",="0101",="0101",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
32,="033",="00069034",="034",="0039",="0040",="0039",="0040",="0000",="003A",="4620",="0030",="FFFF",="0101",="0101",="0101",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
33,="034",="C0080035",="035",="FFFF",="FFFF",="0040",="0040",="0040",="003A",="4620",="0030",="FFFF",="0101",="0101",="0101",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
34,="035",="00061036",="036",="0040",="0101",="0040",="0101",="0000",="003A",="4620",="0030",="FFFF",="0101",="0101",="0101",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
35,="036",="D4000007",="007",="FFFF",="FFFF",="0040",="0101",="0101",="003A",="4620",="0030",="FFFF",="0101",="0101",="0101",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
