±àºÅ,uAddr,uIR,uAR,AB,DB,AR,DR,IB,PC,IR,SP,TR,A,ALU,Shift,PSW,R0,R1,R2,R3,R4,R5,R6,R7,IF,INTR,REQ,MASK
1,="000",="00000000",="000",="FFFF",="0000",="0000",="0000",="0000",="0030",="0000",="0030",="0000",="0000",="0000",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
2,="000",="20080001",="001",="FFFF",="FFFF",="0030",="0000",="0030",="0030",="0000",="0030",="0000",="0000",="0000",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
3,="001",="00069002",="002",="0030",="06A0",="0030",="06A0",="0000",="0031",="0000",="0030",="0000",="0000",="0000",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
4,="002",="CC000003",="003",="FFFF",="FFFF",="0030",="06A0",="06A0",="0031",="06A0",="0030",="0000",="0000",="0000",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
5,="003",="00000404",="006",="FFFF",="FFFF",="0030",="06A0",="0000",="0031",="06A0",="0030",="0000",="0000",="0000",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
6,="006",="00000A28",="02C",="FFFF",="FFFF",="0030",="06A0",="0000",="0031",="06A0",="0030",="0000",="0000",="0000",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
7,="02C",="20080033",="033",="FFFF",="FFFF",="0031",="06A0",="0031",="0031",="06A0",="0030",="0000",="0000",="0000",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
8,="033",="00069034",="034",="0031",="0045",="0031",="0045",="0000",="0032",="06A0",="0030",="0000",="0000",="0000",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
9,="034",="C0080035",="035",="FFFF",="FFFF",="0045",="0045",="0045",="0032",="06A0",="0030",="0000",="0000",="0000",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
10,="035",="00061036",="036",="0045",="1600",="0045",="1600",="0000",="0032",="06A0",="0030",="0000",="0000",="0000",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
11,="036",="D4000007",="007",="FFFF",="FFFF",="0045",="1600",="1600",="0032",="06A0",="0030",="0000",="1600",="1600",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
12,="007",="00000800",="07A",="FFFF",="FFFF",="0045",="1600",="0000",="0032",="06A0",="0030",="0000",="1600",="1600",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
13,="07A",="F4000090",="090",="FFFF",="FFFF",="0045",="1600",="0030",="0032",="06A0",="0030",="0000",="0030",="0030",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
14,="090",="B2B00091",="091",="FFFF",="FFFF",="0045",="1600",="0045",="0032",="06A0",="0030",="0045",="0030",="002F",="002F",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
15,="091",="7C080092",="092",="FFFF",="FFFF",="002F",="1600",="002F",="0032",="06A0",="002F",="0045",="0030",="0030",="002F",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
16,="092",="20030093",="093",="FFFF",="FFFF",="002F",="0032",="0032",="0032",="06A0",="002F",="0045",="0030",="0030",="002F",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
17,="093",="84052200",="000",="002F",="0032",="002F",="0032",="0045",="0045",="06A0",="002F",="0045",="0030",="0030",="002F",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
18,="000",="20080001",="001",="FFFF",="FFFF",="0045",="0032",="0045",="0045",="06A0",="002F",="0045",="0030",="0030",="002F",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
19,="001",="00069002",="002",="0045",="1600",="0045",="1600",="0000",="0046",="06A0",="002F",="0045",="0030",="0030",="002F",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
20,="002",="CC000003",="003",="FFFF",="FFFF",="0045",="1600",="1600",="0046",="1600",="002F",="0045",="0030",="0030",="002F",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
21,="003",="00000404",="004",="FFFF",="FFFF",="0045",="1600",="0000",="0046",="1600",="002F",="0045",="0030",="0030",="002F",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
22,="004",="00000A08",="00B",="FFFF",="FFFF",="0045",="1600",="0000",="0046",="1600",="002F",="0045",="0030",="0030",="002F",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
23,="00B",="20080012",="012",="FFFF",="FFFF",="0046",="1600",="0046",="0046",="1600",="002F",="0045",="0030",="0030",="002F",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
24,="012",="00069016",="016",="0046",="447B",="0046",="447B",="0000",="0047",="1600",="002F",="0045",="0030",="0030",="002F",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
25,="016",="D0000006",="006",="FFFF",="FFFF",="0046",="447B",="447B",="0047",="1600",="002F",="447B",="0030",="0030",="002F",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
26,="006",="00000A28",="028",="FFFF",="FFFF",="0046",="447B",="0000",="0047",="1600",="002F",="447B",="0030",="0030",="002F",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
27,="028",="54000007",="007",="FFFF",="FFFF",="0046",="447B",="0000",="0047",="1600",="002F",="447B",="0000",="0000",="002F",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
28,="007",="00000800",="041",="FFFF",="FFFF",="0046",="447B",="0000",="0047",="1600",="002F",="447B",="0000",="0000",="002F",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
29,="041",="94000040",="040",="FFFF",="FFFF",="0046",="447B",="447B",="0047",="1600",="002F",="447B",="447B",="447B",="002F",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
30,="040",="00300E50",="050",="FFFF",="FFFF",="0046",="447B",="0000",="0047",="1600",="002F",="447B",="447B",="447B",="447B",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
31,="050",="68000280",="000",="FFFF",="FFFF",="0046",="447B",="447B",="0047",="1600",="002F",="447B",="447B",="447B",="447B",="0",="447B",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
32,="000",="20080001",="001",="FFFF",="FFFF",="0047",="447B",="0047",="0047",="1600",="002F",="447B",="447B",="447B",="447B",="0",="447B",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
33,="001",="00069002",="002",="0047",="1601",="0047",="1601",="0000",="0048",="1600",="002F",="447B",="447B",="447B",="447B",="0",="447B",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
34,="002",="CC000003",="003",="FFFF",="FFFF",="0047",="1601",="1601",="0048",="1601",="002F",="447B",="447B",="447B",="447B",="0",="447B",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
35,="003",="00000404",="004",="FFFF",="FFFF",="0047",="1601",="0000",="0048",="1601",="002F",="447B",="447B",="447B",="447B",="0",="447B",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
