±àºÅ,uAddr,uIR,uAR,AB,DB,AR,DR,IB,PC,IR,SP,TR,A,ALU,Shift,PSW,R0,R1,R2,R3,R4,R5,R6,R7,IF,INTR,REQ,MASK
1,="000",="00000000",="000",="FFFF",="0000",="0000",="0000",="0000",="0030",="0000",="0030",="0000",="0000",="0000",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
2,="000",="20080001",="001",="FFFF",="FFFF",="0030",="0000",="0030",="0030",="0000",="0030",="0000",="0000",="0000",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
3,="001",="00069002",="002",="0030",="1601",="0030",="1601",="0000",="0031",="0000",="0030",="0000",="0000",="0000",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
4,="002",="CC000003",="003",="FFFF",="FFFF",="0030",="1601",="1601",="0031",="1601",="0030",="0000",="0000",="0000",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
5,="003",="00000404",="004",="FFFF",="FFFF",="0030",="1601",="0000",="0031",="1601",="0030",="0000",="0000",="0000",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
6,="004",="00000A08",="00B",="FFFF",="FFFF",="0030",="1601",="0000",="0031",="1601",="0030",="0000",="0000",="0000",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
7,="00B",="20080012",="012",="FFFF",="FFFF",="0031",="1601",="0031",="0031",="1601",="0030",="0000",="0000",="0000",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
8,="012",="00069016",="016",="0031",="0040",="0031",="0040",="0000",="0032",="1601",="0030",="0000",="0000",="0000",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
9,="016",="D0000006",="006",="FFFF",="FFFF",="0031",="0040",="0040",="0032",="1601",="0030",="0040",="0000",="0000",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
10,="006",="00000A28",="028",="FFFF",="FFFF",="0031",="0040",="0000",="0032",="1601",="0030",="0040",="0000",="0000",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
11,="028",="54000007",="007",="FFFF",="FFFF",="0031",="0040",="0000",="0032",="1601",="0030",="0040",="0000",="0000",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
12,="007",="00000800",="041",="FFFF",="FFFF",="0031",="0040",="0000",="0032",="1601",="0030",="0040",="0000",="0000",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
13,="041",="94000040",="040",="FFFF",="FFFF",="0031",="0040",="0040",="0032",="1601",="0030",="0040",="0040",="0040",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
14,="040",="00300E50",="050",="FFFF",="FFFF",="0031",="0040",="0000",="0032",="1601",="0030",="0040",="0040",="0040",="0040",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
15,="050",="68000280",="000",="FFFF",="FFFF",="0031",="0040",="0040",="0032",="1601",="0030",="0040",="0040",="0040",="0040",="0",="0000",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
16,="000",="20080001",="001",="FFFF",="FFFF",="0032",="0040",="0032",="0032",="1601",="0030",="0040",="0040",="0040",="0040",="0",="0000",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
17,="001",="00069002",="002",="0032",="A609",="0032",="A609",="0000",="0033",="1601",="0030",="0040",="0040",="0040",="0040",="0",="0000",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
18,="002",="CC000003",="003",="FFFF",="FFFF",="0032",="A609",="A609",="0033",="A609",="0030",="0040",="0040",="0040",="0040",="0",="0000",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
19,="003",="00000404",="004",="FFFF",="FFFF",="0032",="A609",="0000",="0033",="A609",="0030",="0040",="0040",="0040",="0040",="0",="0000",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
20,="004",="00000A08",="00B",="FFFF",="FFFF",="0032",="A609",="0000",="0033",="A609",="0030",="0040",="0040",="0040",="0040",="0",="0000",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
21,="00B",="20080012",="012",="FFFF",="FFFF",="0033",="A609",="0033",="0033",="A609",="0030",="0040",="0040",="0040",="0040",="0",="0000",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
22,="012",="00069016",="016",="0033",="0001",="0033",="0001",="0000",="0034",="A609",="0030",="0040",="0040",="0040",="0040",="0",="0000",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
23,="016",="D0000006",="006",="FFFF",="FFFF",="0033",="0001",="0001",="0034",="A609",="0030",="0001",="0040",="0040",="0040",="0",="0000",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
24,="006",="00000A28",="029",="FFFF",="FFFF",="0033",="0001",="0000",="0034",="A609",="0030",="0001",="0040",="0040",="0040",="0",="0000",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
25,="029",="40080035",="035",="FFFF",="FFFF",="0040",="0001",="0040",="0034",="A609",="0030",="0001",="0040",="0040",="0040",="0",="0000",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
26,="035",="00061036",="036",="0040",="1212",="0040",="1212",="0000",="0034",="A609",="0030",="0001",="0040",="0040",="0040",="0",="0000",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
27,="036",="D4000007",="007",="FFFF",="FFFF",="0040",="1212",="1212",="0034",="A609",="0030",="0001",="1212",="1212",="0040",="0",="0000",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
28,="007",="00000800",="04A",="FFFF",="FFFF",="0040",="1212",="0000",="0034",="A609",="0030",="0001",="1212",="1212",="0040",="0",="0000",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
29,="04A",="99400200",="000",="FFFF",="FFFF",="0040",="1212",="0001",="0034",="A609",="0030",="0001",="1212",="0000",="0040",="4",="0000",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
30,="000",="20080001",="001",="FFFF",="FFFF",="0034",="1212",="0034",="0034",="A609",="0030",="0001",="1212",="1212",="0040",="4",="0000",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
31,="001",="00069002",="002",="0034",="0320",="0034",="0320",="0004",="0035",="A609",="0030",="0001",="1212",="1212",="0040",="4",="0000",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
32,="002",="CC000003",="003",="FFFF",="FFFF",="0034",="0320",="0320",="0035",="0320",="0030",="0001",="1212",="1212",="0040",="4",="0000",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
33,="003",="00000404",="006",="FFFF",="FFFF",="0034",="0320",="0004",="0035",="0320",="0030",="0001",="1212",="1212",="0040",="4",="0000",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
34,="006",="00000A28",="02C",="FFFF",="FFFF",="0034",="0320",="0004",="0035",="0320",="0030",="0001",="1212",="1212",="0040",="4",="0000",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
35,="02C",="20080033",="033",="FFFF",="FFFF",="0035",="0320",="0035",="0035",="0320",="0030",="0001",="1212",="1212",="0040",="4",="0000",="0040",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
