±àºÅ,uAddr,uIR,uAR,AB,DB,AR,DR,IB,PC,IR,SP,TR,A,ALU,Shift,PSW,R0,R1,R2,R3,R4,R5,R6,R7,IF,INTR,REQ,MASK
1,="000",="00000000",="000",="FFFF",="0000",="0000",="0000",="0000",="0030",="0000",="0030",="0000",="0000",="0000",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
2,="000",="20080001",="001",="FFFF",="FFFF",="0030",="0000",="0030",="0030",="0000",="0030",="0000",="0000",="0000",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
3,="001",="00069002",="002",="0030",="0460",="0030",="0460",="0000",="0031",="0000",="0030",="0000",="0000",="0000",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
4,="002",="CC000003",="003",="FFFF",="FFFF",="0030",="0460",="0460",="0031",="0460",="0030",="0000",="0000",="0000",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
5,="003",="00000404",="006",="FFFF",="FFFF",="0030",="0460",="0000",="0031",="0460",="0030",="0000",="0000",="0000",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
6,="006",="00000A28",="02C",="FFFF",="FFFF",="0030",="0460",="0000",="0031",="0460",="0030",="0000",="0000",="0000",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
7,="02C",="20080033",="033",="FFFF",="FFFF",="0031",="0460",="0031",="0031",="0460",="0030",="0000",="0000",="0000",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
8,="033",="00069034",="034",="0031",="0040",="0031",="0040",="0000",="0032",="0460",="0030",="0000",="0000",="0000",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
9,="034",="C0080035",="035",="FFFF",="FFFF",="0040",="0040",="0040",="0032",="0460",="0030",="0000",="0000",="0000",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
10,="035",="00061036",="036",="0040",="1218",="0040",="1218",="0000",="0032",="0460",="0030",="0000",="0000",="0000",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
11,="036",="D4000007",="007",="FFFF",="FFFF",="0040",="1218",="1218",="0032",="0460",="0030",="0000",="1218",="1218",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
12,="007",="00000800",="071",="FFFF",="FFFF",="0040",="1218",="0000",="0032",="0460",="0030",="0000",="1218",="1218",="0000",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
13,="071",="1A700E50",="051",="FFFF",="FFFF",="0040",="1218",="0000",="0032",="0460",="0030",="0000",="1218",="1219",="1219",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
14,="051",="60030052",="052",="FFFF",="FFFF",="0040",="1219",="1219",="0032",="0460",="0030",="0000",="1218",="1218",="1219",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
15,="052",="00052000",="000",="0040",="1219",="0040",="1219",="0000",="0032",="0460",="0030",="0000",="1218",="1218",="1219",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
16,="000",="20080001",="001",="FFFF",="FFFF",="0032",="1219",="0032",="0032",="0460",="0030",="0000",="1218",="1218",="1219",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
17,="001",="00069002",="002",="0032",="0420",="0032",="0420",="0000",="0033",="0460",="0030",="0000",="1218",="1218",="1219",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
18,="002",="CC000003",="003",="FFFF",="FFFF",="0032",="0420",="0420",="0033",="0420",="0030",="0000",="1218",="1218",="1219",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
19,="003",="00000404",="006",="FFFF",="FFFF",="0032",="0420",="0000",="0033",="0420",="0030",="0000",="1218",="1218",="1219",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
20,="006",="00000A28",="02C",="FFFF",="FFFF",="0032",="0420",="0000",="0033",="0420",="0030",="0000",="1218",="1218",="1219",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
21,="02C",="20080033",="033",="FFFF",="FFFF",="0033",="0420",="0033",="0033",="0420",="0030",="0000",="1218",="1218",="1219",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
22,="033",="00069034",="034",="0033",="0030",="0033",="0030",="0000",="0034",="0420",="0030",="0000",="1218",="1218",="1219",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
23,="034",="C0080035",="035",="FFFF",="FFFF",="0030",="0030",="0030",="0034",="0420",="0030",="0000",="1218",="1218",="1219",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
24,="035",="00061036",="036",="0030",="0460",="0030",="0460",="0000",="0034",="0420",="0030",="0000",="1218",="1218",="1219",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
25,="036",="D4000007",="007",="FFFF",="FFFF",="0030",="0460",="0460",="0034",="0420",="0030",="0000",="0460",="0460",="1219",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
26,="007",="00000800",="070",="FFFF",="FFFF",="0030",="0460",="0000",="0034",="0420",="0030",="0000",="0460",="0460",="1219",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"
27,="070",="A4000000",="000",="FFFF",="FFFF",="0030",="0460",="0030",="0030",="0420",="0030",="0000",="0460",="0460",="1219",="0",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0000",="0",="0",="00",="00"